Job: 4122 | DGX | Wed Feb 25 11:00:50 CET 2026
[1/3] Sanitize JSONL...
✅ sanitized: in=15000, out=15000, bad=0
   wrote -> data/processed/train_compute.clean.jsonl
[2/3] Split train/val...
[SPLIT] total=15000 train=14700 val=300
train-> data/processed/train_compute.clean.train.jsonl
val  -> data/processed/train_compute.clean.val.jsonl
[3/3] Train COMPUTE...
trainable params: 40,370,176 || all params: 7,653,162,496 || trainable%: 0.5275
{'loss': 0.5989, 'grad_norm': 0.336393266916275, 'learning_rate': 0.00019793253536452666, 'epoch': 0.01}
{'loss': 0.3063, 'grad_norm': 0.26989951729774475, 'learning_rate': 0.00019575625680087053, 'epoch': 0.02}
{'loss': 0.2759, 'grad_norm': 0.3654918074607849, 'learning_rate': 0.00019357997823721436, 'epoch': 0.03}
{'loss': 0.2354, 'grad_norm': 0.3271486461162567, 'learning_rate': 0.00019140369967355822, 'epoch': 0.04}
{'loss': 0.2304, 'grad_norm': 0.2740282714366913, 'learning_rate': 0.00018922742110990209, 'epoch': 0.05}
{'loss': 0.2186, 'grad_norm': 0.17316512763500214, 'learning_rate': 0.00018705114254624595, 'epoch': 0.07}
{'loss': 0.2049, 'grad_norm': 0.25843891501426697, 'learning_rate': 0.00018487486398258978, 'epoch': 0.08}
{'loss': 0.2393, 'grad_norm': 0.3575715124607086, 'learning_rate': 0.00018269858541893364, 'epoch': 0.09}
{'loss': 0.1867, 'grad_norm': 0.3276148736476898, 'learning_rate': 0.00018052230685527748, 'epoch': 0.1}
{'loss': 0.204, 'grad_norm': 0.44535523653030396, 'learning_rate': 0.00017834602829162131, 'epoch': 0.11}
{'loss': 0.1704, 'grad_norm': 0.2388734668493271, 'learning_rate': 0.00017616974972796518, 'epoch': 0.12}
{'loss': 0.1924, 'grad_norm': 0.26897671818733215, 'learning_rate': 0.00017399347116430904, 'epoch': 0.13}
{'loss': 0.1819, 'grad_norm': 0.28932392597198486, 'learning_rate': 0.0001718171926006529, 'epoch': 0.14}
{'loss': 0.2001, 'grad_norm': 0.29746970534324646, 'learning_rate': 0.00016964091403699673, 'epoch': 0.15}
{'loss': 0.1925, 'grad_norm': 0.46415308117866516, 'learning_rate': 0.0001674646354733406, 'epoch': 0.16}
{'loss': 0.2011, 'grad_norm': 0.3974672257900238, 'learning_rate': 0.00016528835690968446, 'epoch': 0.17}
{'loss': 0.1519, 'grad_norm': 0.39095407724380493, 'learning_rate': 0.00016311207834602832, 'epoch': 0.19}
{'loss': 0.1767, 'grad_norm': 0.0913771390914917, 'learning_rate': 0.00016093579978237216, 'epoch': 0.2}
{'loss': 0.1692, 'grad_norm': 0.39804238080978394, 'learning_rate': 0.000158759521218716, 'epoch': 0.21}
{'loss': 0.1469, 'grad_norm': 0.31811386346817017, 'learning_rate': 0.00015658324265505985, 'epoch': 0.22}
