Job: 4121 | DGX | Wed Feb 25 11:00:45 CET 2026
[1/3] Sanitize JSONL...
✅ sanitized: in=15000, out=15000, bad=0
   wrote -> data/processed/train_detect.clean.jsonl
[2/3] Split train/val...
[SPLIT] total=15000 train=14700 val=300
train-> data/processed/train_detect.clean.train.jsonl
val  -> data/processed/train_detect.clean.val.jsonl
[3/3] Train DETECT...
trainable params: 40,370,176 || all params: 7,653,162,496 || trainable%: 0.5275
{'loss': 0.8168, 'grad_norm': 0.39063557982444763, 'learning_rate': 0.00019793253536452666, 'epoch': 0.01}
{'loss': 0.4351, 'grad_norm': 0.23394015431404114, 'learning_rate': 0.00019575625680087053, 'epoch': 0.02}
{'loss': 0.4229, 'grad_norm': 0.2559501826763153, 'learning_rate': 0.00019357997823721436, 'epoch': 0.03}
{'loss': 0.4403, 'grad_norm': 0.19942133128643036, 'learning_rate': 0.00019140369967355822, 'epoch': 0.04}
{'loss': 0.4197, 'grad_norm': 0.2758431136608124, 'learning_rate': 0.00018922742110990209, 'epoch': 0.05}
{'loss': 0.4045, 'grad_norm': 0.22072546184062958, 'learning_rate': 0.00018705114254624595, 'epoch': 0.07}
{'loss': 0.3954, 'grad_norm': 0.26115211844444275, 'learning_rate': 0.00018487486398258978, 'epoch': 0.08}
{'loss': 0.3772, 'grad_norm': 0.3572501838207245, 'learning_rate': 0.00018269858541893364, 'epoch': 0.09}
{'loss': 0.367, 'grad_norm': 0.3438335955142975, 'learning_rate': 0.00018052230685527748, 'epoch': 0.1}
{'loss': 0.3599, 'grad_norm': 0.2706519067287445, 'learning_rate': 0.00017834602829162131, 'epoch': 0.11}
{'loss': 0.3301, 'grad_norm': 0.37688377499580383, 'learning_rate': 0.00017616974972796518, 'epoch': 0.12}
{'loss': 0.3295, 'grad_norm': 0.3953154385089874, 'learning_rate': 0.00017399347116430904, 'epoch': 0.13}
{'loss': 0.3249, 'grad_norm': 0.40042126178741455, 'learning_rate': 0.0001718171926006529, 'epoch': 0.14}
{'loss': 0.306, 'grad_norm': 0.2521587610244751, 'learning_rate': 0.00016964091403699673, 'epoch': 0.15}
{'loss': 0.3092, 'grad_norm': 0.3006956875324249, 'learning_rate': 0.0001674646354733406, 'epoch': 0.16}
