[INFO] Config: {'base_model': 'Qwen/Qwen2.5-7B-Instruct', 'lora_init': 'y0ta/qwen-cipher-lora', 'train_path': 'data/processed/train_cipher_train.jsonl', 'val_path': 'data/processed/val_cipher.jsonl', 'output_dir': 'checkpoints/qwen-cipher-lora-finetuned', 'max_length': 2048, 'batch_size': 1, 'gradient_accumulation_steps': 8, 'num_epochs': 2, 'learning_rate': 0.0002, 'logging_steps': 20, 'save_steps': 500, 'eval_every_n_steps': 200, 'eval_samples': 32, 'eval_max_new_tokens': 512, 'seed': 42, 'save_total_limit': 3}
[INFO] Loading tokenizer...
[INFO] Added grade tokens: ['<grade_1>', '<grade_2>', '<grade_3>', '<grade_4>', '<grade_5>']
[INFO] Loading base model...
[INFO] Loading existing LoRA adapter from y0ta/qwen-cipher-lora...
trainable params: 161,480,704 || all params: 7,774,273,024 || trainable%: 2.0771
[INFO] Loading datasets...
[DATA] Loaded 54000 samples from data/processed/train_cipher_train.jsonl
[EVAL] Loaded 6000 eval samples from data/processed/val_cipher.jsonl
[INFO] Start training with online eval + self_score...
{'loss': 0.8246, 'grad_norm': 0.4610655605792999, 'learning_rate': 0.00019971851851851853, 'epoch': 0.0}
{'loss': 0.6219, 'grad_norm': 0.508186936378479, 'learning_rate': 0.00019942222222222222, 'epoch': 0.01}
{'loss': 0.5947, 'grad_norm': 0.47008100152015686, 'learning_rate': 0.00019912592592592594, 'epoch': 0.01}
{'loss': 0.5028, 'grad_norm': 0.47697728872299194, 'learning_rate': 0.00019882962962962963, 'epoch': 0.01}
{'loss': 0.483, 'grad_norm': 0.4715910255908966, 'learning_rate': 0.00019853333333333335, 'epoch': 0.01}
{'loss': 0.4836, 'grad_norm': 0.3494281470775604, 'learning_rate': 0.00019823703703703704, 'epoch': 0.02}
{'loss': 0.4925, 'grad_norm': 0.31191959977149963, 'learning_rate': 0.00019794074074074076, 'epoch': 0.02}
{'loss': 0.501, 'grad_norm': 0.4962040185928345, 'learning_rate': 0.00019764444444444446, 'epoch': 0.02}
{'loss': 0.4679, 'grad_norm': 0.34642496705055237, 'learning_rate': 0.00019734814814814815, 'epoch': 0.03}

[ONLINE EVAL] step 200: avg_grade=4.59 (1–5), perfect_5=59.4% on 32 samples, avg_self_score=0.00

{'loss': 0.4601, 'grad_norm': 0.35845518112182617, 'learning_rate': 0.00019705185185185187, 'epoch': 0.03}
{'loss': 0.4516, 'grad_norm': 0.26937684416770935, 'learning_rate': 0.00019675555555555556, 'epoch': 0.03}
{'loss': 0.4928, 'grad_norm': 0.3730778396129608, 'learning_rate': 0.00019645925925925928, 'epoch': 0.04}
{'loss': 0.4378, 'grad_norm': 0.36113283038139343, 'learning_rate': 0.00019616296296296297, 'epoch': 0.04}
{'loss': 0.4062, 'grad_norm': 0.3168375492095947, 'learning_rate': 0.00019586666666666667, 'epoch': 0.04}
{'loss': 0.4309, 'grad_norm': 0.3249126970767975, 'learning_rate': 0.00019557037037037039, 'epoch': 0.04}
{'loss': 0.4368, 'grad_norm': 0.2929461598396301, 'learning_rate': 0.00019527407407407408, 'epoch': 0.05}
{'loss': 0.4199, 'grad_norm': 0.400546133518219, 'learning_rate': 0.0001949777777777778, 'epoch': 0.05}
{'loss': 0.4336, 'grad_norm': 0.2378726452589035, 'learning_rate': 0.0001946814814814815, 'epoch': 0.05}
{'loss': 0.4323, 'grad_norm': 0.3909687399864197, 'learning_rate': 0.0001943851851851852, 'epoch': 0.06}

[ONLINE EVAL] step 400: avg_grade=4.47 (1–5), perfect_5=50.0% on 32 samples, avg_self_score=0.00

{'loss': 0.4146, 'grad_norm': 0.3161541223526001, 'learning_rate': 0.0001940888888888889, 'epoch': 0.06}
{'loss': 0.4204, 'grad_norm': 0.24967552721500397, 'learning_rate': 0.0001937925925925926, 'epoch': 0.06}
{'loss': 0.4011, 'grad_norm': 0.3937709927558899, 'learning_rate': 0.00019349629629629631, 'epoch': 0.07}
{'loss': 0.4181, 'grad_norm': 0.4459783434867859, 'learning_rate': 0.0001932, 'epoch': 0.07}
