trainable params: 40,370,176 || all params: 7,655,986,688 || trainable%: 0.5273
{'loss': 0.9679, 'grad_norm': 0.2763962745666504, 'learning_rate': 0.0001993469387755102, 'epoch': 0.0}
{'loss': 0.5188, 'grad_norm': 0.25400522351264954, 'learning_rate': 0.00019866666666666668, 'epoch': 0.01}
{'loss': 0.4904, 'grad_norm': 0.2743871808052063, 'learning_rate': 0.00019798639455782314, 'epoch': 0.01}
{'loss': 0.4747, 'grad_norm': 0.38074564933776855, 'learning_rate': 0.0001973061224489796, 'epoch': 0.01}
{'loss': 0.46, 'grad_norm': 0.3273835778236389, 'learning_rate': 0.00019662585034013606, 'epoch': 0.02}
{'loss': 0.451, 'grad_norm': 0.4604661464691162, 'learning_rate': 0.00019594557823129254, 'epoch': 0.02}
{'loss': 0.4297, 'grad_norm': 0.4901353120803833, 'learning_rate': 0.000195265306122449, 'epoch': 0.02}
{'loss': 0.4206, 'grad_norm': 0.4545535445213318, 'learning_rate': 0.00019458503401360546, 'epoch': 0.03}
{'loss': 0.4109, 'grad_norm': 0.5065381526947021, 'learning_rate': 0.00019390476190476192, 'epoch': 0.03}
{'loss': 0.3932, 'grad_norm': 0.3759564757347107, 'learning_rate': 0.00019322448979591837, 'epoch': 0.03}
{'loss': 0.3696, 'grad_norm': 0.30472856760025024, 'learning_rate': 0.00019254421768707483, 'epoch': 0.04}
{'loss': 0.3798, 'grad_norm': 0.376541405916214, 'learning_rate': 0.00019186394557823132, 'epoch': 0.04}
{'loss': 0.36, 'grad_norm': 0.4772275388240814, 'learning_rate': 0.00019118367346938778, 'epoch': 0.04}
{'loss': 0.3685, 'grad_norm': 0.3856108486652374, 'learning_rate': 0.00019050340136054424, 'epoch': 0.05}
{'loss': 0.3359, 'grad_norm': 0.38838574290275574, 'learning_rate': 0.0001898231292517007, 'epoch': 0.05}
{'loss': 0.3518, 'grad_norm': 0.29807931184768677, 'learning_rate': 0.00018914285714285715, 'epoch': 0.05}
{'loss': 0.3343, 'grad_norm': 0.3505086898803711, 'learning_rate': 0.0001884625850340136, 'epoch': 0.06}
{'loss': 0.3354, 'grad_norm': 0.37677595019340515, 'learning_rate': 0.00018778231292517007, 'epoch': 0.06}
{'loss': 0.3158, 'grad_norm': 0.43278011679649353, 'learning_rate': 0.00018710204081632653, 'epoch': 0.06}
{'loss': 0.3309, 'grad_norm': 0.2736120820045471, 'learning_rate': 0.000186421768707483, 'epoch': 0.07}
{'eval_loss': 0.3274575173854828, 'eval_runtime': 79.2426, 'eval_samples_per_second': 15.143, 'eval_steps_per_second': 15.143, 'epoch': 0.07}
{'loss': 0.2981, 'grad_norm': 0.36130642890930176, 'learning_rate': 0.00018574149659863947, 'epoch': 0.07}
{'loss': 0.3054, 'grad_norm': 0.2279808670282364, 'learning_rate': 0.00018506122448979593, 'epoch': 0.07}
{'loss': 0.2991, 'grad_norm': 0.24108940362930298, 'learning_rate': 0.0001843809523809524, 'epoch': 0.08}
{'loss': 0.309, 'grad_norm': 0.32767605781555176, 'learning_rate': 0.00018370068027210885, 'epoch': 0.08}
{'loss': 0.297, 'grad_norm': 0.2881160378456116, 'learning_rate': 0.0001830204081632653, 'epoch': 0.09}
{'loss': 0.2813, 'grad_norm': 0.3595023453235626, 'learning_rate': 0.00018234013605442176, 'epoch': 0.09}
{'loss': 0.301, 'grad_norm': 0.2338360697031021, 'learning_rate': 0.00018165986394557822, 'epoch': 0.09}
{'loss': 0.2777, 'grad_norm': 0.39973872900009155, 'learning_rate': 0.0001809795918367347, 'epoch': 0.1}
{'loss': 0.2769, 'grad_norm': 0.3330003321170807, 'learning_rate': 0.00018029931972789117, 'epoch': 0.1}
{'loss': 0.2728, 'grad_norm': 0.34925490617752075, 'learning_rate': 0.00017961904761904762, 'epoch': 0.1}
{'loss': 0.289, 'grad_norm': 0.2866796553134918, 'learning_rate': 0.00017893877551020408, 'epoch': 0.11}
{'loss': 0.2887, 'grad_norm': 0.37672659754753113, 'learning_rate': 0.00017825850340136054, 'epoch': 0.11}
{'loss': 0.3067, 'grad_norm': 0.4048117399215698, 'learning_rate': 0.000177578231292517, 'epoch': 0.11}
{'loss': 0.2718, 'grad_norm': 0.3467422127723694, 'learning_rate': 0.00017689795918367346, 'epoch': 0.12}
{'loss': 0.2684, 'grad_norm': 0.38070911169052124, 'learning_rate': 0.00017621768707482994, 'epoch': 0.12}
{'loss': 0.2924, 'grad_norm': 0.20733153820037842, 'learning_rate': 0.0001755374149659864, 'epoch': 0.12}
{'loss': 0.2662, 'grad_norm': 0.2982981204986572, 'learning_rate': 0.0001748571428571429, 'epoch': 0.13}
{'loss': 0.263, 'grad_norm': 0.2930097281932831, 'learning_rate': 0.00017417687074829935, 'epoch': 0.13}
{'loss': 0.267, 'grad_norm': 0.28801971673965454, 'learning_rate': 0.0001734965986394558, 'epoch': 0.13}
{'loss': 0.2835, 'grad_norm': 0.29527220129966736, 'learning_rate': 0.00017281632653061226, 'epoch': 0.14}
{'eval_loss': 0.2736794054508209, 'eval_runtime': 79.2476, 'eval_samples_per_second': 15.142, 'eval_steps_per_second': 15.142, 'epoch': 0.14}
{'loss': 0.2604, 'grad_norm': 0.24847149848937988, 'learning_rate': 0.00017213605442176872, 'epoch': 0.14}
{'loss': 0.2598, 'grad_norm': 0.28436964750289917, 'learning_rate': 0.00017145578231292518, 'epoch': 0.14}
{'loss': 0.2426, 'grad_norm': 0.272382915019989, 'learning_rate': 0.00017077551020408164, 'epoch': 0.15}
{'loss': 0.2653, 'grad_norm': 0.3302522897720337, 'learning_rate': 0.0001700952380952381, 'epoch': 0.15}
{'loss': 0.2592, 'grad_norm': 0.2856813371181488, 'learning_rate': 0.00016941496598639458, 'epoch': 0.15}
{'loss': 0.2602, 'grad_norm': 0.37865015864372253, 'learning_rate': 0.00016873469387755104, 'epoch': 0.16}
{'loss': 0.2763, 'grad_norm': 0.20302042365074158, 'learning_rate': 0.0001680544217687075, 'epoch': 0.16}
{'loss': 0.2587, 'grad_norm': 0.3100787401199341, 'learning_rate': 0.00016737414965986396, 'epoch': 0.16}
{'loss': 0.2439, 'grad_norm': 0.27515363693237305, 'learning_rate': 0.00016669387755102041, 'epoch': 0.17}
{'loss': 0.2379, 'grad_norm': 0.27772510051727295, 'learning_rate': 0.00016601360544217687, 'epoch': 0.17}
{'loss': 0.2578, 'grad_norm': 0.44681257009506226, 'learning_rate': 0.00016533333333333333, 'epoch': 0.17}
{'loss': 0.2592, 'grad_norm': 0.25191453099250793, 'learning_rate': 0.0001646530612244898, 'epoch': 0.18}
{'loss': 0.2465, 'grad_norm': 0.28158751130104065, 'learning_rate': 0.00016397278911564628, 'epoch': 0.18}
{'loss': 0.2512, 'grad_norm': 0.3262989819049835, 'learning_rate': 0.00016329251700680273, 'epoch': 0.18}
{'loss': 0.2456, 'grad_norm': 0.2274509072303772, 'learning_rate': 0.0001626122448979592, 'epoch': 0.19}
{'loss': 0.2445, 'grad_norm': 0.32924148440361023, 'learning_rate': 0.00016193197278911565, 'epoch': 0.19}
{'loss': 0.2581, 'grad_norm': 0.18699926137924194, 'learning_rate': 0.0001612517006802721, 'epoch': 0.19}
{'loss': 0.2532, 'grad_norm': 0.22970320284366608, 'learning_rate': 0.00016057142857142857, 'epoch': 0.2}
{'loss': 0.2565, 'grad_norm': 0.2703811228275299, 'learning_rate': 0.00015989115646258503, 'epoch': 0.2}
{'loss': 0.2332, 'grad_norm': 0.3712804615497589, 'learning_rate': 0.00015921088435374148, 'epoch': 0.2}
{'eval_loss': 0.2577762007713318, 'eval_runtime': 79.4449, 'eval_samples_per_second': 15.105, 'eval_steps_per_second': 15.105, 'epoch': 0.2}
{'loss': 0.2535, 'grad_norm': 0.24878831207752228, 'learning_rate': 0.00015853061224489797, 'epoch': 0.21}
{'loss': 0.2244, 'grad_norm': 0.2468470185995102, 'learning_rate': 0.00015785034013605443, 'epoch': 0.21}
{'loss': 0.2514, 'grad_norm': 0.2461242377758026, 'learning_rate': 0.0001571700680272109, 'epoch': 0.21}
{'loss': 0.2488, 'grad_norm': 0.2265922725200653, 'learning_rate': 0.00015648979591836734, 'epoch': 0.22}
{'loss': 0.2351, 'grad_norm': 0.3145449757575989, 'learning_rate': 0.00015580952380952383, 'epoch': 0.22}
{'loss': 0.2461, 'grad_norm': 0.38275232911109924, 'learning_rate': 0.0001551292517006803, 'epoch': 0.22}
{'loss': 0.2409, 'grad_norm': 0.31569260358810425, 'learning_rate': 0.00015444897959183675, 'epoch': 0.23}
{'loss': 0.2431, 'grad_norm': 0.2093920111656189, 'learning_rate': 0.0001537687074829932, 'epoch': 0.23}
{'loss': 0.2582, 'grad_norm': 0.25867578387260437, 'learning_rate': 0.00015308843537414966, 'epoch': 0.23}
{'loss': 0.2555, 'grad_norm': 0.26545870304107666, 'learning_rate': 0.00015240816326530615, 'epoch': 0.24}
{'loss': 0.2508, 'grad_norm': 0.2783971130847931, 'learning_rate': 0.0001517278911564626, 'epoch': 0.24}
{'loss': 0.2664, 'grad_norm': 0.27347493171691895, 'learning_rate': 0.00015104761904761907, 'epoch': 0.24}
{'loss': 0.2583, 'grad_norm': 0.2915003299713135, 'learning_rate': 0.00015036734693877552, 'epoch': 0.25}
{'loss': 0.2509, 'grad_norm': 0.25588539242744446, 'learning_rate': 0.00014968707482993198, 'epoch': 0.25}
{'loss': 0.2413, 'grad_norm': 0.47515350580215454, 'learning_rate': 0.00014900680272108844, 'epoch': 0.26}
{'loss': 0.2397, 'grad_norm': 0.29333969950675964, 'learning_rate': 0.0001483265306122449, 'epoch': 0.26}
{'loss': 0.2609, 'grad_norm': 0.22740794718265533, 'learning_rate': 0.00014764625850340136, 'epoch': 0.26}
{'loss': 0.2587, 'grad_norm': 0.25410908460617065, 'learning_rate': 0.00014696598639455784, 'epoch': 0.27}
{'loss': 0.2353, 'grad_norm': 0.27644816040992737, 'learning_rate': 0.0001462857142857143, 'epoch': 0.27}
{'loss': 0.2234, 'grad_norm': 0.207716703414917, 'learning_rate': 0.00014560544217687076, 'epoch': 0.27}
{'eval_loss': 0.2499741166830063, 'eval_runtime': 79.2476, 'eval_samples_per_second': 15.142, 'eval_steps_per_second': 15.142, 'epoch': 0.27}
{'loss': 0.2373, 'grad_norm': 0.1875932514667511, 'learning_rate': 0.00014492517006802722, 'epoch': 0.28}
{'loss': 0.2562, 'grad_norm': 0.21915706992149353, 'learning_rate': 0.00014424489795918368, 'epoch': 0.28}
{'loss': 0.2362, 'grad_norm': 0.3043687641620636, 'learning_rate': 0.00014356462585034014, 'epoch': 0.28}
{'loss': 0.2395, 'grad_norm': 0.1634158343076706, 'learning_rate': 0.0001428843537414966, 'epoch': 0.29}
{'loss': 0.2464, 'grad_norm': 0.22249022126197815, 'learning_rate': 0.00014220408163265305, 'epoch': 0.29}
{'loss': 0.2556, 'grad_norm': 0.3085285723209381, 'learning_rate': 0.00014152380952380954, 'epoch': 0.29}
{'loss': 0.2491, 'grad_norm': 0.3713105022907257, 'learning_rate': 0.000140843537414966, 'epoch': 0.3}
{'loss': 0.2243, 'grad_norm': 0.1943657398223877, 'learning_rate': 0.00014016326530612246, 'epoch': 0.3}
{'loss': 0.2486, 'grad_norm': 0.14257431030273438, 'learning_rate': 0.0001394829931972789, 'epoch': 0.3}
{'loss': 0.2331, 'grad_norm': 0.268261581659317, 'learning_rate': 0.00013880272108843537, 'epoch': 0.31}
{'loss': 0.2311, 'grad_norm': 0.19708403944969177, 'learning_rate': 0.00013812244897959183, 'epoch': 0.31}
{'loss': 0.2504, 'grad_norm': 0.21356965601444244, 'learning_rate': 0.0001374421768707483, 'epoch': 0.31}
{'loss': 0.2163, 'grad_norm': 0.19385217130184174, 'learning_rate': 0.00013676190476190475, 'epoch': 0.32}
{'loss': 0.2545, 'grad_norm': 0.23854844272136688, 'learning_rate': 0.00013608163265306123, 'epoch': 0.32}
{'loss': 0.2364, 'grad_norm': 0.1573852300643921, 'learning_rate': 0.0001354013605442177, 'epoch': 0.32}
{'loss': 0.2454, 'grad_norm': 0.1744655966758728, 'learning_rate': 0.00013472108843537418, 'epoch': 0.33}
{'loss': 0.2368, 'grad_norm': 0.22459988296031952, 'learning_rate': 0.00013404081632653063, 'epoch': 0.33}
{'loss': 0.2305, 'grad_norm': 0.22092074155807495, 'learning_rate': 0.0001333605442176871, 'epoch': 0.33}
{'loss': 0.2477, 'grad_norm': 0.194747194647789, 'learning_rate': 0.00013268027210884355, 'epoch': 0.34}
{'loss': 0.2561, 'grad_norm': 0.20225238800048828, 'learning_rate': 0.000132, 'epoch': 0.34}
{'eval_loss': 0.24497424066066742, 'eval_runtime': 79.0166, 'eval_samples_per_second': 15.187, 'eval_steps_per_second': 15.187, 'epoch': 0.34}
{'loss': 0.2232, 'grad_norm': 0.2516023814678192, 'learning_rate': 0.00013131972789115647, 'epoch': 0.34}
{'loss': 0.2317, 'grad_norm': 0.20140981674194336, 'learning_rate': 0.00013063945578231293, 'epoch': 0.35}
{'loss': 0.2545, 'grad_norm': 0.26330649852752686, 'learning_rate': 0.00012995918367346939, 'epoch': 0.35}
{'loss': 0.2362, 'grad_norm': 0.1802561730146408, 'learning_rate': 0.00012927891156462587, 'epoch': 0.35}
{'loss': 0.2341, 'grad_norm': 0.2446053922176361, 'learning_rate': 0.00012859863945578233, 'epoch': 0.36}
{'loss': 0.2362, 'grad_norm': 0.17535462975502014, 'learning_rate': 0.0001279183673469388, 'epoch': 0.36}
{'loss': 0.2311, 'grad_norm': 0.20425955951213837, 'learning_rate': 0.00012723809523809525, 'epoch': 0.36}
{'loss': 0.2422, 'grad_norm': 0.24555574357509613, 'learning_rate': 0.0001265578231292517, 'epoch': 0.37}
{'loss': 0.2448, 'grad_norm': 0.23790110647678375, 'learning_rate': 0.00012587755102040816, 'epoch': 0.37}
{'loss': 0.234, 'grad_norm': 0.28303512930870056, 'learning_rate': 0.00012519727891156462, 'epoch': 0.37}
{'loss': 0.2475, 'grad_norm': 0.24265486001968384, 'learning_rate': 0.00012451700680272108, 'epoch': 0.38}
{'loss': 0.2315, 'grad_norm': 0.1911458969116211, 'learning_rate': 0.00012383673469387757, 'epoch': 0.38}
{'loss': 0.2382, 'grad_norm': 0.2657126188278198, 'learning_rate': 0.00012315646258503402, 'epoch': 0.38}
{'loss': 0.2355, 'grad_norm': 0.279527485370636, 'learning_rate': 0.00012247619047619048, 'epoch': 0.39}
{'loss': 0.2064, 'grad_norm': 0.19989685714244843, 'learning_rate': 0.00012179591836734694, 'epoch': 0.39}
{'loss': 0.2091, 'grad_norm': 0.19197723269462585, 'learning_rate': 0.0001211156462585034, 'epoch': 0.39}
{'loss': 0.2516, 'grad_norm': 0.35390612483024597, 'learning_rate': 0.00012043537414965986, 'epoch': 0.4}
{'loss': 0.2237, 'grad_norm': 0.22479969263076782, 'learning_rate': 0.00011975510204081633, 'epoch': 0.4}
{'loss': 0.2262, 'grad_norm': 0.21802133321762085, 'learning_rate': 0.00011907482993197279, 'epoch': 0.4}
{'loss': 0.2299, 'grad_norm': 0.2575880289077759, 'learning_rate': 0.00011839455782312925, 'epoch': 0.41}
{'eval_loss': 0.23811660706996918, 'eval_runtime': 78.3121, 'eval_samples_per_second': 15.323, 'eval_steps_per_second': 15.323, 'epoch': 0.41}
{'loss': 0.228, 'grad_norm': 0.26731929183006287, 'learning_rate': 0.0001177142857142857, 'epoch': 0.41}
{'loss': 0.2381, 'grad_norm': 0.3100162148475647, 'learning_rate': 0.00011703401360544218, 'epoch': 0.41}
{'loss': 0.2332, 'grad_norm': 0.18921324610710144, 'learning_rate': 0.00011635374149659866, 'epoch': 0.42}
{'loss': 0.2387, 'grad_norm': 0.2004796266555786, 'learning_rate': 0.00011567346938775512, 'epoch': 0.42}
{'loss': 0.2369, 'grad_norm': 0.17082685232162476, 'learning_rate': 0.00011499319727891158, 'epoch': 0.43}
{'loss': 0.2371, 'grad_norm': 0.26751723885536194, 'learning_rate': 0.00011431292517006804, 'epoch': 0.43}
{'loss': 0.2294, 'grad_norm': 0.17741818726062775, 'learning_rate': 0.00011363265306122451, 'epoch': 0.43}
{'loss': 0.2373, 'grad_norm': 0.2698478400707245, 'learning_rate': 0.00011295238095238097, 'epoch': 0.44}
{'loss': 0.2255, 'grad_norm': 0.18652793765068054, 'learning_rate': 0.00011227210884353743, 'epoch': 0.44}
{'loss': 0.2195, 'grad_norm': 0.21678012609481812, 'learning_rate': 0.00011159183673469388, 'epoch': 0.44}
{'loss': 0.2363, 'grad_norm': 0.1996421217918396, 'learning_rate': 0.00011091156462585036, 'epoch': 0.45}
{'loss': 0.2447, 'grad_norm': 0.200957253575325, 'learning_rate': 0.00011023129251700681, 'epoch': 0.45}
{'loss': 0.2409, 'grad_norm': 0.18640001118183136, 'learning_rate': 0.00010955102040816327, 'epoch': 0.45}
{'loss': 0.239, 'grad_norm': 0.23329021036624908, 'learning_rate': 0.00010887074829931973, 'epoch': 0.46}
{'loss': 0.2003, 'grad_norm': 0.1878565102815628, 'learning_rate': 0.0001081904761904762, 'epoch': 0.46}
{'loss': 0.2181, 'grad_norm': 0.21078424155712128, 'learning_rate': 0.00010751020408163266, 'epoch': 0.46}
{'loss': 0.2371, 'grad_norm': 0.2857370674610138, 'learning_rate': 0.00010682993197278912, 'epoch': 0.47}
{'loss': 0.2243, 'grad_norm': 0.18073593080043793, 'learning_rate': 0.00010614965986394558, 'epoch': 0.47}
{'loss': 0.2155, 'grad_norm': 0.1604164093732834, 'learning_rate': 0.00010546938775510205, 'epoch': 0.47}
{'loss': 0.2249, 'grad_norm': 0.187154158949852, 'learning_rate': 0.00010478911564625851, 'epoch': 0.48}
{'eval_loss': 0.23327651619911194, 'eval_runtime': 79.5193, 'eval_samples_per_second': 15.091, 'eval_steps_per_second': 15.091, 'epoch': 0.48}
{'loss': 0.2285, 'grad_norm': 0.1532575637102127, 'learning_rate': 0.00010410884353741497, 'epoch': 0.48}
{'loss': 0.2238, 'grad_norm': 0.16632282733917236, 'learning_rate': 0.00010342857142857143, 'epoch': 0.48}
{'loss': 0.2134, 'grad_norm': 0.18798786401748657, 'learning_rate': 0.0001027482993197279, 'epoch': 0.49}
{'loss': 0.215, 'grad_norm': 0.16092287003993988, 'learning_rate': 0.00010206802721088436, 'epoch': 0.49}
{'loss': 0.2208, 'grad_norm': 0.19264952838420868, 'learning_rate': 0.00010138775510204081, 'epoch': 0.49}
{'loss': 0.2277, 'grad_norm': 0.1804318130016327, 'learning_rate': 0.00010070748299319727, 'epoch': 0.5}
{'loss': 0.2163, 'grad_norm': 0.17909887433052063, 'learning_rate': 0.00010002721088435374, 'epoch': 0.5}
{'loss': 0.2133, 'grad_norm': 0.2520287036895752, 'learning_rate': 9.934693877551022e-05, 'epoch': 0.5}
{'loss': 0.2063, 'grad_norm': 0.2424013763666153, 'learning_rate': 9.866666666666668e-05, 'epoch': 0.51}
{'loss': 0.2177, 'grad_norm': 0.17116399109363556, 'learning_rate': 9.798639455782313e-05, 'epoch': 0.51}
{'loss': 0.2084, 'grad_norm': 0.18095634877681732, 'learning_rate': 9.730612244897959e-05, 'epoch': 0.51}
{'loss': 0.2311, 'grad_norm': 0.20412570238113403, 'learning_rate': 9.662585034013606e-05, 'epoch': 0.52}
{'loss': 0.2365, 'grad_norm': 0.2633524239063263, 'learning_rate': 9.594557823129252e-05, 'epoch': 0.52}
{'loss': 0.2304, 'grad_norm': 0.1903659850358963, 'learning_rate': 9.526530612244898e-05, 'epoch': 0.52}
{'loss': 0.2271, 'grad_norm': 0.16945110261440277, 'learning_rate': 9.458503401360544e-05, 'epoch': 0.53}
{'loss': 0.2304, 'grad_norm': 0.3005138337612152, 'learning_rate': 9.390476190476191e-05, 'epoch': 0.53}
{'loss': 0.2203, 'grad_norm': 0.17708368599414825, 'learning_rate': 9.322448979591837e-05, 'epoch': 0.53}
{'loss': 0.2194, 'grad_norm': 0.2013997584581375, 'learning_rate': 9.254421768707483e-05, 'epoch': 0.54}
{'loss': 0.2271, 'grad_norm': 0.17291750013828278, 'learning_rate': 9.186394557823129e-05, 'epoch': 0.54}
{'loss': 0.2105, 'grad_norm': 0.16226446628570557, 'learning_rate': 9.118367346938776e-05, 'epoch': 0.54}
{'eval_loss': 0.23079243302345276, 'eval_runtime': 78.0494, 'eval_samples_per_second': 15.375, 'eval_steps_per_second': 15.375, 'epoch': 0.54}
{'loss': 0.2243, 'grad_norm': 0.23307159543037415, 'learning_rate': 9.050340136054423e-05, 'epoch': 0.55}
{'loss': 0.2037, 'grad_norm': 0.14416871964931488, 'learning_rate': 8.982312925170069e-05, 'epoch': 0.55}
{'loss': 0.1991, 'grad_norm': 0.17998340725898743, 'learning_rate': 8.914285714285715e-05, 'epoch': 0.55}
{'loss': 0.2077, 'grad_norm': 0.23357601463794708, 'learning_rate': 8.84625850340136e-05, 'epoch': 0.56}
{'loss': 0.2352, 'grad_norm': 0.27093759179115295, 'learning_rate': 8.778231292517008e-05, 'epoch': 0.56}
{'loss': 0.2195, 'grad_norm': 0.1355634480714798, 'learning_rate': 8.710204081632654e-05, 'epoch': 0.56}
{'loss': 0.2299, 'grad_norm': 0.24676606059074402, 'learning_rate': 8.6421768707483e-05, 'epoch': 0.57}
{'loss': 0.2175, 'grad_norm': 0.18039631843566895, 'learning_rate': 8.574149659863945e-05, 'epoch': 0.57}
{'loss': 0.2153, 'grad_norm': 0.19451318681240082, 'learning_rate': 8.506122448979592e-05, 'epoch': 0.57}
{'loss': 0.2167, 'grad_norm': 0.1698349267244339, 'learning_rate': 8.438095238095238e-05, 'epoch': 0.58}
{'loss': 0.2209, 'grad_norm': 0.13437144458293915, 'learning_rate': 8.370068027210884e-05, 'epoch': 0.58}
{'loss': 0.2154, 'grad_norm': 0.20888151228427887, 'learning_rate': 8.30204081632653e-05, 'epoch': 0.59}
{'loss': 0.2274, 'grad_norm': 0.20554868876934052, 'learning_rate': 8.234013605442177e-05, 'epoch': 0.59}
{'loss': 0.2265, 'grad_norm': 0.1497301459312439, 'learning_rate': 8.165986394557823e-05, 'epoch': 0.59}
{'loss': 0.2191, 'grad_norm': 0.19122622907161713, 'learning_rate': 8.09795918367347e-05, 'epoch': 0.6}
{'loss': 0.2407, 'grad_norm': 0.17714594304561615, 'learning_rate': 8.029931972789116e-05, 'epoch': 0.6}
{'loss': 0.2238, 'grad_norm': 0.2580208480358124, 'learning_rate': 7.961904761904763e-05, 'epoch': 0.6}
{'loss': 0.2229, 'grad_norm': 0.3123592138290405, 'learning_rate': 7.893877551020409e-05, 'epoch': 0.61}
{'loss': 0.2341, 'grad_norm': 0.23647309839725494, 'learning_rate': 7.825850340136055e-05, 'epoch': 0.61}
{'loss': 0.2173, 'grad_norm': 0.16464166343212128, 'learning_rate': 7.757823129251701e-05, 'epoch': 0.61}
{'eval_loss': 0.22759053111076355, 'eval_runtime': 78.9242, 'eval_samples_per_second': 15.204, 'eval_steps_per_second': 15.204, 'epoch': 0.61}
{'loss': 0.2129, 'grad_norm': 0.20078392326831818, 'learning_rate': 7.689795918367348e-05, 'epoch': 0.62}
{'loss': 0.229, 'grad_norm': 0.22249172627925873, 'learning_rate': 7.621768707482994e-05, 'epoch': 0.62}
{'loss': 0.2184, 'grad_norm': 0.14955481886863708, 'learning_rate': 7.55374149659864e-05, 'epoch': 0.62}
{'loss': 0.2114, 'grad_norm': 0.2574177086353302, 'learning_rate': 7.485714285714285e-05, 'epoch': 0.63}
{'loss': 0.2159, 'grad_norm': 0.21533317863941193, 'learning_rate': 7.417687074829933e-05, 'epoch': 0.63}
{'loss': 0.2368, 'grad_norm': 0.26649540662765503, 'learning_rate': 7.349659863945579e-05, 'epoch': 0.63}
{'loss': 0.232, 'grad_norm': 0.21197262406349182, 'learning_rate': 7.281632653061224e-05, 'epoch': 0.64}
{'loss': 0.216, 'grad_norm': 0.16651540994644165, 'learning_rate': 7.21360544217687e-05, 'epoch': 0.64}
{'loss': 0.2174, 'grad_norm': 0.1311645358800888, 'learning_rate': 7.145578231292517e-05, 'epoch': 0.64}
{'loss': 0.2331, 'grad_norm': 0.20626510679721832, 'learning_rate': 7.077551020408165e-05, 'epoch': 0.65}
{'loss': 0.2207, 'grad_norm': 0.189475417137146, 'learning_rate': 7.00952380952381e-05, 'epoch': 0.65}
{'loss': 0.2315, 'grad_norm': 0.14717088639736176, 'learning_rate': 6.941496598639456e-05, 'epoch': 0.65}
{'loss': 0.2066, 'grad_norm': 0.1979791522026062, 'learning_rate': 6.873469387755102e-05, 'epoch': 0.66}
{'loss': 0.2318, 'grad_norm': 0.18681639432907104, 'learning_rate': 6.805442176870749e-05, 'epoch': 0.66}
{'loss': 0.2273, 'grad_norm': 0.171176016330719, 'learning_rate': 6.737414965986395e-05, 'epoch': 0.66}
{'loss': 0.2309, 'grad_norm': 0.1810336410999298, 'learning_rate': 6.669387755102041e-05, 'epoch': 0.67}
{'loss': 0.219, 'grad_norm': 0.20030911266803741, 'learning_rate': 6.601360544217687e-05, 'epoch': 0.67}
