Job ID: 4078
Node: DGX
Wed Feb 18 09:57:19 CET 2026
trainable params: 40,370,176 || all params: 7,655,986,688 || trainable%: 0.5273
{'loss': 0.7712, 'grad_norm': 0.43650713562965393, 'learning_rate': 0.00019948299319727894, 'epoch': 0.0}
{'loss': 0.393, 'grad_norm': 0.29152992367744446, 'learning_rate': 0.0001989387755102041, 'epoch': 0.01}
{'loss': 0.3957, 'grad_norm': 0.22699908912181854, 'learning_rate': 0.00019839455782312925, 'epoch': 0.01}
{'loss': 0.3953, 'grad_norm': 0.16443495452404022, 'learning_rate': 0.00019785034013605442, 'epoch': 0.01}
{'loss': 0.3767, 'grad_norm': 0.19720467925071716, 'learning_rate': 0.0001973061224489796, 'epoch': 0.01}
{'loss': 0.348, 'grad_norm': 0.22692666947841644, 'learning_rate': 0.00019676190476190477, 'epoch': 0.02}
{'loss': 0.34, 'grad_norm': 0.22222815454006195, 'learning_rate': 0.00019621768707482994, 'epoch': 0.02}
{'loss': 0.3233, 'grad_norm': 0.23763202130794525, 'learning_rate': 0.0001956734693877551, 'epoch': 0.02}
{'loss': 0.304, 'grad_norm': 0.4600940942764282, 'learning_rate': 0.00019512925170068029, 'epoch': 0.02}
{'loss': 0.2947, 'grad_norm': 0.3776683211326599, 'learning_rate': 0.00019458503401360546, 'epoch': 0.03}
{'loss': 0.2763, 'grad_norm': 0.426159530878067, 'learning_rate': 0.00019404081632653063, 'epoch': 0.03}
{'loss': 0.2699, 'grad_norm': 0.35103222727775574, 'learning_rate': 0.0001934965986394558, 'epoch': 0.03}
{'loss': 0.291, 'grad_norm': 0.2721329927444458, 'learning_rate': 0.00019295238095238095, 'epoch': 0.04}
{'loss': 0.2975, 'grad_norm': 0.4264826476573944, 'learning_rate': 0.00019240816326530612, 'epoch': 0.04}
{'loss': 0.2611, 'grad_norm': 0.2285829484462738, 'learning_rate': 0.00019186394557823132, 'epoch': 0.04}
{'loss': 0.2199, 'grad_norm': 0.28800395131111145, 'learning_rate': 0.00019131972789115646, 'epoch': 0.04}
{'loss': 0.2669, 'grad_norm': 0.2943550944328308, 'learning_rate': 0.00019077551020408164, 'epoch': 0.05}
{'loss': 0.2465, 'grad_norm': 0.4237937331199646, 'learning_rate': 0.0001902312925170068, 'epoch': 0.05}
{'loss': 0.2454, 'grad_norm': 0.20602892339229584, 'learning_rate': 0.00018968707482993198, 'epoch': 0.05}
{'loss': 0.2435, 'grad_norm': 0.2654809057712555, 'learning_rate': 0.00018914285714285715, 'epoch': 0.05}
{'loss': 0.2529, 'grad_norm': 0.2993161976337433, 'learning_rate': 0.00018859863945578232, 'epoch': 0.06}
{'loss': 0.2385, 'grad_norm': 0.2894621193408966, 'learning_rate': 0.0001880544217687075, 'epoch': 0.06}
{'loss': 0.2389, 'grad_norm': 0.3614240288734436, 'learning_rate': 0.00018751020408163267, 'epoch': 0.06}
{'loss': 0.2352, 'grad_norm': 0.21176762878894806, 'learning_rate': 0.0001869659863945578, 'epoch': 0.07}
{'loss': 0.2462, 'grad_norm': 0.2786931097507477, 'learning_rate': 0.000186421768707483, 'epoch': 0.07}
{'eval_loss': 0.27921363711357117, 'eval_runtime': 94.0872, 'eval_samples_per_second': 12.754, 'eval_steps_per_second': 12.754, 'epoch': 0.07}
{'loss': 0.227, 'grad_norm': 0.2903348505496979, 'learning_rate': 0.00018587755102040818, 'epoch': 0.07}
{'loss': 0.2131, 'grad_norm': 0.24748273193836212, 'learning_rate': 0.00018533333333333333, 'epoch': 0.07}
{'loss': 0.241, 'grad_norm': 0.24078582227230072, 'learning_rate': 0.0001847891156462585, 'epoch': 0.08}
{'loss': 0.2267, 'grad_norm': 0.2252081334590912, 'learning_rate': 0.0001842448979591837, 'epoch': 0.08}
{'loss': 0.2185, 'grad_norm': 0.23139873147010803, 'learning_rate': 0.00018370068027210885, 'epoch': 0.08}
{'loss': 0.21, 'grad_norm': 0.2284127175807953, 'learning_rate': 0.00018315646258503402, 'epoch': 0.08}
{'loss': 0.2232, 'grad_norm': 0.3801994025707245, 'learning_rate': 0.0001826122448979592, 'epoch': 0.09}
{'loss': 0.2043, 'grad_norm': 0.26543670892715454, 'learning_rate': 0.00018206802721088436, 'epoch': 0.09}
{'loss': 0.1985, 'grad_norm': 0.1565847098827362, 'learning_rate': 0.00018152380952380953, 'epoch': 0.09}
{'loss': 0.2179, 'grad_norm': 0.22959119081497192, 'learning_rate': 0.0001809795918367347, 'epoch': 0.1}
{'loss': 0.1956, 'grad_norm': 0.3023666739463806, 'learning_rate': 0.00018043537414965988, 'epoch': 0.1}
{'loss': 0.2038, 'grad_norm': 0.1970038264989853, 'learning_rate': 0.00017989115646258505, 'epoch': 0.1}
